serial_number,title,document_type,year,volume,source_name,source_url,local_file_path,page_count,file_size_bytes,sha256_hash,downloaded_at
1,Form 1040 — U.S. Individual Income Tax Return,Tax Form,2026,f1040,IRS — Tax Forms,https://www.irs.gov/pub/irs-pdf/f1040.pdf,data_irs\raw_pdfs\001_Form_1040_US_Individual_Income_Tax_Return_f1040_2026.pdf,2,220237,3d31c226df0d189ced80e039d01cf0f8820c1019681a0f0ca6264de277b7e982,2026-07-13T05:29:33.661530+00:00
2,Form 1040-SR — U.S. Tax Return for Seniors,Tax Form,2026,f1040sr,IRS — Tax Forms,https://www.irs.gov/pub/irs-pdf/f1040sr.pdf,data_irs\raw_pdfs\002_Form_1040-SR_US_Tax_Return_for_Seniors_f1040sr_2026.pdf,2,93840,9b1acf56189a88a347d38936e0792552f7466040494b73bf779af17734620b79,2026-07-13T05:29:34.831557+00:00
3,Form 1040-ES — Estimated Tax for Individuals,Tax Form,2026,f1040es,IRS — Tax Forms,https://www.irs.gov/pub/irs-pdf/f1040es.pdf,data_irs\raw_pdfs\003_Form_1040-ES_Estimated_Tax_for_Individuals_f1040es_2026.pdf,16,331490,396ffad25baa737b33a67d27624f7444be3ac4e7245d287aebe5f89864f90b54,2026-07-13T05:29:36.329172+00:00
4,Form 1040-V — Payment Voucher,Tax Form,2026,f1040v,IRS — Tax Forms,https://www.irs.gov/pub/irs-pdf/f1040v.pdf,data_irs\raw_pdfs\004_Form_1040-V_Payment_Voucher_f1040v_2026.pdf,2,97663,2426bb330ac54b765b32fbc3eceb878544aa333a3a823e1170aa8261a40fd251,2026-07-13T05:29:37.506600+00:00
5,Form 1040-X — Amended U.S. Individual Income Tax Return,Tax Form,2026,f1040x,IRS — Tax Forms,https://www.irs.gov/pub/irs-pdf/f1040x.pdf,data_irs\raw_pdfs\005_Form_1040-X_Amended_US_Individual_Income_Tax_Return_f1040x_2026.pdf,2,164571,e4d8d7df37209218d0d63d06e988004306365354873481726e93916accf3013e,2026-07-13T05:29:38.956258+00:00
6,Form 1040-NR — U.S. Nonresident Alien Income Tax Return,Tax Form,2026,f1040nr,IRS — Tax Forms,https://www.irs.gov/pub/irs-pdf/f1040nr.pdf,data_irs\raw_pdfs\006_Form_1040-NR_US_Nonresident_Alien_Income_Tax_Return_f1040nr_2026.pdf,2,177160,aa1c0523595ad630e097e41d42a35cbc7fa04685633a842d9ff4a7aa7b478c7a,2026-07-13T05:29:40.195855+00:00
7,Schedule A (Form 1040) — Itemized Deductions,Tax Form,2026,f1040sa,IRS — Tax Forms,https://www.irs.gov/pub/irs-pdf/f1040sa.pdf,data_irs\raw_pdfs\007_Schedule_A_Form_1040_Itemized_Deductions_f1040sa_2026.pdf,1,79008,c14acf3478f4c33f27ac6e8ecd9f94b6fb25b16745b341728bd27847d2ef56bb,2026-07-13T05:29:41.662202+00:00
8,Schedule B (Form 1040) — Interest and Ordinary Dividends,Tax Form,2026,f1040sb,IRS — Tax Forms,https://www.irs.gov/pub/irs-pdf/f1040sb.pdf,data_irs\raw_pdfs\008_Schedule_B_Form_1040_Interest_and_Ordinary_Dividends_f1040sb_2026.pdf,1,76411,dd1ec3719954532bd219343d81385a2ada3c8e9573fc755a3893f1fbbecc63e2,2026-07-13T05:29:42.787325+00:00
9,Schedule C (Form 1040) — Profit or Loss from Business,Tax Form,2026,f1040sc,IRS — Tax Forms,https://www.irs.gov/pub/irs-pdf/f1040sc.pdf,data_irs\raw_pdfs\009_Schedule_C_Form_1040_Profit_or_Loss_from_Business_f1040sc_2026.pdf,2,122589,ddf401dbe060467d39f90ad2abf645df1de31512821a150dc68a3882bbf19716,2026-07-13T05:29:43.934772+00:00
10,Schedule D (Form 1040) — Capital Gains and Losses,Tax Form,2026,f1040sd,IRS — Tax Forms,https://www.irs.gov/pub/irs-pdf/f1040sd.pdf,data_irs\raw_pdfs\010_Schedule_D_Form_1040_Capital_Gains_and_Losses_f1040sd_2026.pdf,2,97968,90564c8b7e49280363612639b804d113ebedb516c2e87c70649f29c844da1d2e,2026-07-13T05:29:45.035373+00:00
